
1,400.0,03/06/2023
2,200.0,03/06/2023
3,200.0,03/06/2023
4,400.0,03/06/2023
5,600.0,03/06/2023
6,400.0,03/06/2023
7,200.0,03/06/2023
8,2400.0,03/06/2023
9,400.0,03/06/2023
10,800.0,03/06/2023
11,600.0,03/06/2023
12,200.0,03/06/2023
13,400.0,03/06/2023
14,200.0,03/06/2023
15,200.0,03/06/2023
16,200.0,03/06/2023
17,999.0,04/06/2023
18,1998.0,04/06/2023
19,400.0,04/06/2023
20,740.0,04/06/2023
21,999.0,04/06/2023
22,460.0,04/06/2023
23,260.0,04/06/2023
24,350.0,04/06/2023
25,350.0,04/06/2023
26,350.0,04/06/2023
27,999.0,04/06/2023
28,350.0,04/06/2023
29,350.0,04/06/2023
30,60.0,04/06/2023
31,700.0,04/06/2023
32,200.0,04/06/2023
33,200.0,04/06/2023
34,700.0,04/06/2023
35,700.0,04/06/2023
36,700.0,04/06/2023
37,350.0,04/06/2023
38,999.0,04/06/2023
39,999.0,04/06/2023
40,250.0,05/06/2023
41,250.0,05/06/2023
42,700.0,22/06/2023
43,120.0,22/06/2023
44,2997.0,22/06/2023
45,1998.0,22/06/2023
